"","gender","SeniorCitizen","Partner","Dependents","tenure","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","MonthlyCharges","TotalCharges"
"301","Male",0,"Yes","Yes",68,"Yes","No","Fiber optic","Yes","No","No","Yes","Yes","Yes","Two year","Yes","Electronic check",99.55,6668
"302","Male",0,"Yes","Yes",72,"Yes","No","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",111.95,8033.1
"303","Male",0,"No","No",65,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Credit card (automatic)",19.55,1218.65
"304","Male",0,"No","No",1,"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",89.55,89.55
"305","Female",0,"No","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Electronic check",71.35,71.35
"306","Female",1,"No","No",2,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","No","Mailed check",81.5,162.55
"307","Female",0,"Yes","No",26,"No","No phone service","DSL","Yes","Yes","Yes","No","Yes","No","One year","No","Bank transfer (automatic)",47.85,1190.5
"308","Male",0,"No","No",2,"Yes","No","DSL","No","Yes","No","No","No","No","Month-to-month","Yes","Mailed check",50.3,92.75
"309","Female",0,"Yes","No",2,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",45,89.75
"310","Female",0,"Yes","Yes",62,"Yes","No","DSL","Yes","No","Yes","Yes","Yes","No","One year","Yes","Bank transfer (automatic)",70.75,4263.45
"311","Female",0,"No","No",71,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Electronic check",24.55,1719.15
"312","Female",0,"No","No",18,"Yes","Yes","DSL","Yes","No","Yes","No","No","No","Month-to-month","Yes","Mailed check",60.6,1156.35
"313","Female",1,"Yes","Yes",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",88.05,6425.65
"314","Male",0,"Yes","Yes",6,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Credit card (automatic)",19.85,138.85
"315","Female",0,"No","No",1,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Mailed check",43.95,43.95
"316","Female",0,"Yes","Yes",29,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",20.2,558.8
"317","Female",0,"No","No",38,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","Electronic check",24.25,914.4
"318","Male",1,"Yes","No",14,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check",19.65,228.65
"319","Female",0,"Yes","No",39,"No","No phone service","DSL","Yes","No","Yes","No","Yes","Yes","Month-to-month","No","Electronic check",55.9,2184.35
"320","Male",0,"Yes","Yes",23,"Yes","Yes","DSL","No","No","No","No","No","No","One year","Yes","Credit card (automatic)",48.35,1067.15
"321","Female",1,"No","No",4,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",20.05,91.45
"322","Male",0,"Yes","No",72,"Yes","Yes","Fiber optic","Yes","Yes","No","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",109.95,7852.4
"323","Female",0,"No","No",4,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",46,193.6
"324","Male",0,"Yes","Yes",28,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","Yes","One year","No","Electronic check",106.1,2847.4
"325","Female",0,"Yes","Yes",30,"Yes","No","DSL","No","Yes","Yes","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",80.8,2369.3
"326","Female",0,"No","No",20,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","Credit card (automatic)",19.35,433.75
"327","Female",0,"Yes","Yes",57,"Yes","Yes","DSL","Yes","Yes","No","Yes","No","No","Month-to-month","No","Bank transfer (automatic)",65.2,3687.85
"328","Female",0,"No","No",12,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",94.2,1046.1
"329","Female",0,"No","No",60,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",25,1505.05
"330","Male",0,"No","No",23,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",74.95,1710.45
"331","Female",0,"No","No",1,"Yes","Yes","DSL","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",50.1,50.1
"332","Male",1,"No","No",1,"Yes","No","Fiber optic","No","No","No","Yes","No","No","Month-to-month","No","Electronic check",74.7,74.7
"333","Female",0,"Yes","Yes",36,"No","No phone service","DSL","Yes","No","Yes","Yes","No","No","Two year","No","Credit card (automatic)",40.65,1547.35
"334","Male",1,"Yes","No",16,"Yes","No","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",74.3,1178.25
"335","Male",0,"Yes","Yes",70,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Two year","No","Bank transfer (automatic)",98.3,6859.5
"336","Male",0,"Yes","No",8,"Yes","No","Fiber optic","Yes","No","No","No","No","No","Month-to-month","Yes","Mailed check",75,658.1
"337","Female",1,"No","No",4,"Yes","Yes","Fiber optic","No","No","Yes","No","No","Yes","Month-to-month","Yes","Electronic check",88.85,372.45
"338","Female",0,"Yes","Yes",41,"Yes","No","DSL","No","Yes","No","Yes","No","Yes","One year","Yes","Bank transfer (automatic)",66.5,2728.6
"339","Female",0,"Yes","Yes",56,"Yes","Yes","DSL","Yes","No","Yes","No","No","Yes","One year","Yes","Bank transfer (automatic)",68.75,3808
"340","Female",0,"No","No",19,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",19.9,367.55
"341","Female",0,"No","Yes",1,"Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","No","Mailed check",49.9,49.9
"342","Male",0,"Yes","Yes",63,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",25.25,1573.05
"343","Male",1,"No","No",35,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",101.4,3496.3
"344","Female",1,"Yes","No",67,"Yes","Yes","Fiber optic","Yes","No","Yes","No","Yes","Yes","One year","Yes","Credit card (automatic)",107.05,7142.5
"345","Male",0,"Yes","Yes",47,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Mailed check",90.5,4318.35
"346","Female",1,"Yes","No",43,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","No","Month-to-month","Yes","Electronic check",94.5,4156.8
"347","Female",0,"No","No",3,"Yes","No","DSL","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",54.2,140.4
"348","Female",0,"No","Yes",18,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",25.3,454.65
"349","Male",1,"No","No",51,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",97.8,4913.3
"350","Female",1,"No","No",25,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","Yes","Month-to-month","Yes","Mailed check",102.8,2660.2
"351","Female",1,"Yes","No",16,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Credit card (automatic)",85.35,1375.15
"352","Female",0,"Yes","No",37,"Yes","Yes","Fiber optic","Yes","No","Yes","Yes","No","Yes","One year","Yes","Electronic check",99.2,3754.6
"353","Female",1,"Yes","No",61,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","No","No","Month-to-month","Yes","Credit card (automatic)",94.2,5895.45
"354","Male",0,"Yes","Yes",35,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",89.65,3161.6
"355","Female",0,"No","No",10,"No","No phone service","DSL","Yes","Yes","Yes","No","No","No","Month-to-month","No","Bank transfer (automatic)",40.7,449.3
"356","Male",0,"Yes","Yes",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check",18.8,18.8
"357","Female",0,"Yes","No",51,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Mailed check",69.15,3649.6
"358","Male",0,"No","No",3,"No","No phone service","DSL","Yes","No","Yes","Yes","No","No","Month-to-month","No","Mailed check",41.35,107.25
"359","Male",1,"Yes","No",1,"No","No phone service","DSL","No","Yes","No","No","Yes","No","Month-to-month","No","Electronic check",40.2,40.2
"360","Male",1,"Yes","No",65,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","One year","Yes","Bank transfer (automatic)",103.15,6792.45
"361","Female",0,"Yes","No",5,"Yes","No","Fiber optic","Yes","No","Yes","No","No","Yes","Month-to-month","Yes","Mailed check",88.9,454.15
"362","Male",0,"No","No",4,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Mailed check",19.95,59.25
"363","Male",0,"Yes","No",42,"Yes","Yes","Fiber optic","Yes","No","Yes","No","No","Yes","Month-to-month","Yes","Electronic check",94.4,4014.6
"364","Male",0,"Yes","Yes",6,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",44.6,260.8
"365","Female",0,"Yes","No",37,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",99.5,3762
"366","Male",0,"No","No",31,"Yes","No","DSL","No","No","Yes","Yes","No","No","Month-to-month","Yes","Electronic check",55.25,1715.65
"367","Male",1,"No","No",1,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Electronic check",46.3,46.3
"368","Male",0,"Yes","Yes",64,"Yes","No","DSL","Yes","No","Yes","Yes","Yes","No","Two year","No","Mailed check",69.25,4447.75
"369","Female",0,"No","No",7,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",78.55,522.95
"370","Male",0,"Yes","Yes",4,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Electronic check",44.8,169.65
"371","Female",0,"No","No",59,"Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes","Two year","No","Electronic check",95.8,5655.45
"372","Female",1,"No","No",56,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","One year","Yes","Bank transfer (automatic)",104.75,5510.65
"373","Male",0,"Yes","Yes",2,"Yes","No","DSL","Yes","Yes","No","Yes","No","No","Two year","No","Mailed check",59.5,130.5
"374","Female",0,"Yes","No",72,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","One year","Yes","Electronic check",109.25,8109.8
"375","Male",0,"Yes","Yes",71,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",114,8175.9
"376","Male",0,"No","Yes",41,"Yes","No","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Electronic check",111.15,4507.15
"377","Female",0,"No","Yes",31,"Yes","Yes","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Credit card (automatic)",86.55,2697.4
"378","Female",0,"No","Yes",1,"Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",79.6,79.6
"379","Male",0,"Yes","Yes",46,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Electronic check",24.9,1174.8
"380","Female",0,"No","No",3,"No","No phone service","DSL","Yes","No","No","Yes","No","No","Month-to-month","No","Mailed check",34.25,139.35
"381","Female",0,"No","No",3,"Yes","No","Fiber optic","No","No","Yes","Yes","No","No","Month-to-month","No","Credit card (automatic)",80.1,217.55
"382","Male",0,"Yes","No",11,"Yes","No","DSL","No","No","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",55.05,608.15
"383","Female",1,"No","No",31,"Yes","No","Fiber optic","Yes","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",73.55,2094.65
"384","Female",1,"No","No",8,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",105.5,829.55
"385","Female",0,"No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Mailed check",19.9,19.9
"386","Male",0,"Yes","No",71,"Yes","No","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Electronic check",105.25,7291.75
"387","Male",0,"No","No",19,"No","No phone service","DSL","No","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",25.15,468.35
"388","Male",0,"No","No",16,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Credit card (automatic)",19.75,294.9
"389","Female",0,"Yes","No",14,"Yes","Yes","DSL","Yes","No","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",64.7,941
"390","Female",0,"Yes","No",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","No","Two year","Yes","Bank transfer (automatic)",103.95,7556.9
"391","Male",1,"No","No",31,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",96.6,2877.95
"392","Female",0,"No","No",15,"No","No phone service","DSL","No","Yes","No","No","No","Yes","Two year","Yes","Mailed check",38.8,603
"393","Female",1,"No","No",43,"Yes","No","Fiber optic","Yes","Yes","No","Yes","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",108.15,4600.7
"394","Male",0,"Yes","Yes",67,"Yes","Yes","Fiber optic","No","Yes","Yes","No","No","No","One year","No","Electronic check",87.4,5918.8
"395","Female",0,"No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Bank transfer (automatic)",19.25,19.25
"396","Male",0,"Yes","Yes",4,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Mailed check",45.25,155.35
"397","Female",0,"Yes","Yes",35,"Yes","Yes","DSL","Yes","Yes","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",59.45,2136.9
"398","Male",0,"Yes","Yes",6,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check",19.45,113.5
"399","Female",0,"No","No",8,"No","No phone service","DSL","No","Yes","No","No","No","No","Month-to-month","Yes","Mailed check",29.25,226.95
"400","Female",1,"Yes","No",71,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","No","No","Two year","Yes","Credit card (automatic)",96.35,6766.95
"401","Male",0,"Yes","No",20,"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Mailed check",89,1820.45
"402","Female",0,"Yes","No",2,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Bank transfer (automatic)",19.85,52
"403","Male",0,"No","No",63,"Yes","Yes","DSL","Yes","No","Yes","Yes","No","Yes","Two year","Yes","Bank transfer (automatic)",71.9,4479.2
"404","Male",0,"No","No",16,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",18.95,326.8
"405","Male",0,"Yes","No",40,"Yes","Yes","DSL","No","Yes","No","Yes","Yes","No","One year","No","Credit card (automatic)",70.75,2921.75
"406","Male",0,"No","No",30,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check",19.7,625.05
"407","Female",0,"Yes","Yes",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","No","Yes","Two year","No","Bank transfer (automatic)",80.85,5824.75
"408","Male",0,"Yes","Yes",63,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",89.4,5597.65
"409","Female",0,"No","No",20,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",19.7,406.95
"410","Male",0,"Yes","No",25,"Yes","Yes","DSL","No","No","Yes","No","No","No","Month-to-month","No","Credit card (automatic)",55.55,1405.3
"411","Female",0,"No","No",63,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",24.2,1618.2
"412","Female",0,"Yes","No",69,"Yes","No","Fiber optic","Yes","Yes","No","Yes","Yes","Yes","One year","Yes","Credit card (automatic)",106.4,7251.9
"413","Male",0,"No","No",1,"No","No phone service","DSL","No","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",24.8,24.8
"414","Female",0,"Yes","No",14,"Yes","No","Fiber optic","Yes","Yes","No","Yes","Yes","Yes","One year","No","Mailed check",105.95,1348.9
"415","Male",0,"No","No",2,"Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",80.2,181.1
"416","Female",0,"Yes","Yes",64,"No","No phone service","DSL","No","Yes","Yes","Yes","No","Yes","Two year","No","Electronic check",49.85,3210.35
"417","Male",1,"Yes","No",16,"Yes","No","Fiber optic","No","No","Yes","Yes","No","Yes","Month-to-month","Yes","Electronic check",91.55,1540.05
"418","Female",1,"No","No",9,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","No","Month-to-month","Yes","Electronic check",90.1,816.8
"419","Female",1,"No","No",2,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",44.3,89.3
"420","Male",0,"No","Yes",8,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Bank transfer (automatic)",19.45,159.2
"421","Male",0,"Yes","Yes",61,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","One year","Yes","Electronic check",99.9,6241.35
"422","Male",1,"No","No",30,"Yes","Yes","Fiber optic","Yes","No","No","No","No","Yes","Month-to-month","Yes","Credit card (automatic)",90.5,2595.85
"423","Male",0,"No","Yes",1,"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",90.85,90.85
"424","Male",0,"No","No",24,"Yes","No","Fiber optic","No","Yes","Yes","No","No","Yes","Month-to-month","Yes","Electronic check",89.55,2187.15
"425","Female",0,"No","No",40,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",93.4,3756.4
"426","Female",0,"No","No",9,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",94.75,889.9
"427","Female",0,"Yes","No",53,"Yes","No","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","One year","No","Electronic check",110.5,5835.5
"428","Female",0,"No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",19.5,19.5
"429","Male",0,"No","Yes",16,"Yes","Yes","DSL","Yes","Yes","No","No","No","Yes","Month-to-month","Yes","Electronic check",69.1,1083.7
"430","Male",0,"Yes","Yes",53,"Yes","Yes","DSL","Yes","No","Yes","Yes","Yes","Yes","Month-to-month","No","Electronic check",85.7,4616.1
"431","Female",1,"No","Yes",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",71,71
"432","Female",0,"Yes","Yes",32,"No","No phone service","DSL","Yes","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",35.15,1051.05
"433","Female",1,"Yes","No",1,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Electronic check",90.6,90.6
"434","Female",0,"No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",20.5,20.5
"435","Female",0,"No","No",54,"Yes","Yes","Fiber optic","Yes","No","Yes","No","Yes","Yes","One year","Yes","Bank transfer (automatic)",103.95,5639.05
"436","Female",1,"No","No",1,"No","No phone service","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",25.2,25.2
"437","Female",0,"No","No",13,"No","No phone service","DSL","Yes","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",30.85,394.1
"438","Male",0,"Yes","Yes",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",114.05,8289.2
"439","Male",1,"Yes","No",29,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",84.3,2357.75
"440","Male",0,"No","No",24,"Yes","No","DSL","No","No","No","Yes","No","No","Month-to-month","Yes","Credit card (automatic)",51.1,1269.6
"441","Female",1,"Yes","Yes",59,"Yes","Yes","Fiber optic","No","No","Yes","No","No","Yes","Month-to-month","Yes","Credit card (automatic)",88.75,5348.65
"442","Female",0,"No","No",69,"Yes","Yes","DSL","Yes","No","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",85.35,5897.4
"443","Female",0,"No","No",29,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check",20,599.3
"444","Female",0,"No","No",29,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",19.4,554.25
"445","Male",0,"No","No",10,"Yes","No","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",104.4,1081.45
"446","Male",1,"No","No",65,"Yes","No","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",99.1,6496.15
"447","Male",1,"No","No",18,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",95.45,1752.55
"448","Male",0,"Yes","Yes",72,"No","No phone service","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",65.25,4478.85
"449","Male",0,"Yes","No",24,"Yes","No","Fiber optic","Yes","No","No","Yes","No","Yes","Month-to-month","Yes","Electronic check",89.25,2210.2
"450","Male",1,"No","No",15,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Electronic check",75.65,1146.65
"451","Female",0,"Yes","Yes",4,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",20.35,76.35
"452","Male",0,"Yes","Yes",26,"Yes","No","Fiber optic","No","No","No","No","No","Yes","One year","No","Bank transfer (automatic)",78.95,2034.25
"453","Female",0,"Yes","No",72,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Two year","Yes","Electronic check",97.85,6841.3
"454","Male",1,"Yes","Yes",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",114.95,8196.4
"455","Male",0,"Yes","Yes",41,"Yes","No","DSL","Yes","Yes","Yes","No","No","No","One year","Yes","Bank transfer (automatic)",60.3,2511.3
"456","Male",0,"No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",20.35,20.35
"457","Male",0,"No","No",24,"Yes","No","Fiber optic","No","No","No","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",96,2122.45
"458","Male",0,"No","No",2,"Yes","No","Fiber optic","No","No","Yes","Yes","No","No","Month-to-month","Yes","Electronic check",79.85,152.45
"459","Female",0,"No","No",29,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check",20.35,617.35
"460","Male",0,"No","No",1,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",86.6,86.6
"461","Male",0,"Yes","Yes",58,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","One year","Yes","Bank transfer (automatic)",105.05,6004.85
"462","Female",0,"No","No",22,"Yes","No","Fiber optic","No","Yes","No","No","No","Yes","Month-to-month","Yes","Mailed check",84.3,1855.65
"463","Female",0,"Yes","Yes",71,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",19.7,1415.85
"464","Male",0,"No","No",1,"Yes","No","DSL","No","Yes","No","No","No","No","Month-to-month","No","Electronic check",50.8,50.8
"465","Female",0,"Yes","Yes",20,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",20.35,442.6
"466","Male",0,"No","No",38,"Yes","No","DSL","Yes","Yes","No","Yes","Yes","No","One year","No","Mailed check",70.6,2708.2
"467","Female",1,"No","No",2,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",69.6,131.65
"468","Male",0,"Yes","Yes",63,"Yes","No","Fiber optic","No","Yes","Yes","No","No","No","Month-to-month","Yes","Credit card (automatic)",80.3,4896.35
"469","Male",0,"No","No",1,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Mailed check",44.45,44.45
"470","Female",1,"Yes","No",25,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",69.3,1813.1
"471","Male",0,"Yes","No",23,"Yes","Yes","Fiber optic","No","Yes","Yes","No","No","No","Month-to-month","No","Electronic check",84.25,1968.1
"472","Male",1,"No","No",11,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",111.4,1183.05
"473","Male",1,"No","No",1,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",93.55,93.55
"474","Male",1,"Yes","No",69,"Yes","Yes","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","One year","Yes","Mailed check",110.55,7610.1
"475","Female",0,"Yes","No",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",92,6474.4
"476","Male",0,"No","No",21,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",19.6,390.4
"477","Female",0,"Yes","No",71,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Credit card (automatic)",24.25,1732.95
"478","Female",1,"No","No",65,"No","No phone service","DSL","No","Yes","Yes","No","Yes","Yes","Two year","Yes","Bank transfer (automatic)",53.5,3517.9
"479","Female",0,"No","No",25,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Credit card (automatic)",19.9,527.5
"480","Male",1,"No","No",30,"Yes","No","DSL","Yes","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",74.75,2111.3
"481","Female",0,"No","No",11,"Yes","No","DSL","Yes","No","Yes","No","No","Yes","Month-to-month","No","Bank transfer (automatic)",64.05,733.95
"482","Female",0,"No","No",46,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",44.95,2168.9
"483","Female",0,"Yes","Yes",60,"No","No phone service","DSL","Yes","No","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",59.85,3590.2
"484","Male",0,"No","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",69.8,69.8
"485","Male",0,"No","No",18,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check",23.75,424.5
"486","Female",0,"No","No",1,"Yes","No","DSL","No","Yes","No","No","No","No","Month-to-month","No","Electronic check",49.95,49.95
